country,name,description,start_date,end_date,start_month,end_month,outcome,casualties,economic_damage (in millions)
Ethiopia,Mass murder,The Mai Kadra massacre was a massacre carried out during the Tigray War. Ethnic cleansing and mass murders were carried out on 9–10 November 2020 in the town of Mai Kadra in the Tigray Region of northwestern Ethiopia.,2020-11-09,2020-11-10,11,11,"The total death toll remains unclear, but according to Amnesty International, ""likely hundreds"" were killed. Two videos, which were analyzed by Amnesty International to prove that the massacre had taken place, show dozens of corpses with injuries caused by bladed weapons, like machetes. According to the EHRC, which described the massacre as a ""widespread and systematic attack directed against a civilian population"" at least 600 people were killed; EHRCO counted 1100 deaths. ",600,0
Ethiopia,Civil war ,The Tigray War is an ongoing civil war that began on 3 November 2020 in the Tigray Region of Ethiopia.,2020-11-03,2022-03-16,11,3,"Tigray is an ongoing civil war that began on 3 November 2020 in the Tigray Region of Ethiopia. The local Tigray Defense Forces (TDF) are fighting the Ethiopian National Defense Force (ENDF), the Ethiopian Federal Police, regional police, and gendarmerie forces of the neighbouring Amhara and Afar regions with the involvement of the Eritrean Defence Forces (EDF). Due to the onset of the war, a deep humanitarian crisis has developed.",2408,502
Ethiopia,Armed conflict,The Benishangul-Gumuz conflict is an armed conflict mostly in the Metekel Zone of the Benishangul-Gumuz Region in Ethiopia that started in 2019.,2019-06-23,2022-03-16,6,3,"More than a hundred thousand people were displaced by the conflict as of February 2021 and 7,000 have fled to neighboring Sudan. Mass killings of civilians in Metekel Zone started on 23 June 2019, the day following the Amhara Region coup d'état attempt, and continued in September, October, November, and December 2020, and in January and February 2021.",437,NA
Ethiopia,Armed conflict,The Oromo conflict is a protracted conflict between the Oromo Liberation Front (OLF) and the Ethiopian government.,2018-04-15,2022-03-16,4,3,"In April 2018 the OLF made peace with the Ethiopian government along with several other groups including the Ogaden National Liberation Front and Ginbot 7. The OLF leadership agreed to disarm its soldiers within 15 days of their arrival in Addis Ababa. According to then-OLF leader Ibsa Negewo, the OLF claimed to have 1,305 soldiers in Eritrea and 4,000 in West and South Oromia. ",86,0
Ethiopia,Armed conflict,The Oromia–Somali clashes flared up in December 2016 following territorial disputes between Oromia region and Somali region's Government in Ethiopia.,2016-12-14,2022-03-16,12,3," Hundreds of people were killed and more than 1.5 million people fled their homes. Up to 400,000 were displaced by the fighting as of November 2017. People left the Oromia Region to find safety in the Somali Region.[",200,NA
Niger,Flood,"Heavy rains during the months of June, July and August 2016 resulted in extreme flooding of various rivers throughout Niger.",2016-06-01,2016-09-30,6,9,"According to estimates, the 2016 flood resulted in the loss of at least 38 lives and destroyed around 9.000 homes, leaving thousands of people homeless. Approximately 26.000 livestock were lost. The floods provoked substantial displacement, exacerbated by ongoing attacks by Boko Haram, as well as increasing competition over agricultural land.",38,4209
Niger,Flood,The 2009 West Africa floods are a natural disaster that began in June 2009 as a consequence of exceptionally heavy seasonal rainfall in large areas of West Africa.,2009-06-01,2009-09-30,6,9,"Flash floods, following 4 days of intense rainfall in Niger's northern Aïr Mountains affected 3,500 homes in Agadez and surrounding areas, causing 2 deaths, and losses in livestock and crops. The total number of affected people has mounted to 79,129 and 3 deaths.",3,152
Niger,Armed conflict,The Tuareg Rebellion of 2007–2009 was an insurgency amongst elements of the Tuareg people living in the Sahara desert regions of northern Mali and Niger. ,2007-02-01,2009-05-30,2,5,"Niger saw heavy fighting and disruption of uranium production in the mountainous north, before a Libyan backed peace deal, aided by a factional split among the rebels, brought a negotiated ceasefire and amnesty in May 2009.",70,0
Niger,Terrorism,"On the 12 December 2020, jihadist group Boko Haram carried out attacks in Toumour, Diffa Region, Niger.",2020-12-12,2020-12-12,12,12,"Boko Haram killed 28 people: 10 from gunshots, 14 by fire and four by drowning. The insurgents injured about 100 other people and burned 800 homes",28,0
Niger,Terrorism,Suspected members of ISIS-GS attacked two villages in the Tillabéri Region of Niger.,2020-05-10,2020-05-10,5,5,The attackers killed approximately 20 villagers and stole their cattle.,20,0
Niger,Terrorism,The 2017 Ayorou attack occurred in October when armed militants attacked a Nigerien military outpost in the village of Ayorou in southwestern Niger.,2017-10-21,2017-10-21,10,10,"Thirteen gendarmes were killed and five others were wounded. At least one of the attackers was killed as well. The attackers fled after police reinforcements arrived and pursued them to the border. A similar raid was carried out on the same outpost the previous May. In a statement released by the U.S. embassy, the United States strongly condemned the attack and offered condolences to the families of the victims.",13,0
Niger,Terrorism,"On 10 December 2019, a large group of fighters belonging to the Islamic State in the Greater Sahara attacked a military post in Inates, Tillabéri Region, Niger.",2019-12-10,2019-12-10,12,12, The attackers included suicide bombers. The spokesman for the ministry stated that many of the attackers were neutralized by friendly forces. The attack killed 71 soldiers and injured 12 others. 30 more soldiers remained missing after the attack. ,73,0
Niger,Epidemic,"The 2009–2010 West African meningitis outbreak was an epidemic of bacterial meningitis which occurred in Burkina Faso, Mali, Niger, and Nigeria since January 2009. ",2009-01-20,2010-01-01,1,1,"The Agadez Region directorate of public health report reported 189 cases with 16 death is the Region, 99 cases with 4 deaths in Agadez alone. In the even more remote areas further east, officials in Bilma and Dirkou reported 36 cases but with 10 of them resulting in death.",113,1.951562
Niger,Food security crisis,The 2005–2006 Niger food crisis was a severe but localized food security crisis in regions of Niger from 2005 to 2006.,2005-07-01,2006-07-01,7,7,"The food shortage impacted 3.3 million people —including 800,000 children under age five— in 3,815 villages. Officials estimated cereal deficits at 223,448 tons and livestock feed deficits at 4,642,219 tons.",0,240
Niger,Terrorism,"The Tongo Tongo ambush or the Niger ambush occurred on 4 October 2017, when armed militants from the Islamic State in the Greater Sahara (ISGS) attacked Nigerien and US soldiers outside the village of Tongo Tongo, Niger.",2017-10-04,2017-10-04,10,10,"During the ambush, four Nigeriens, four US soldiers, and at least 21 ISGS militants were killed, and eight Nigeriens and two US soldiers including the team commander were wounded. In the day preceding the ambush, the Nigerien and US soldiers conducted a mission attempting to locate and capture or kill Doundou Chefou, a commander in the ISGS.",4,0
